type,target,ocr_enabled,image_enabled
SID,4700001-0021497479,true,true
SID,4700001-0020265222,true,true
SID,2007544330,false,true
SID,4700001-0029714768,true,true
SID,1708594520,false,true
SID,4700001-0022213361,false,true
SID,4700001-0029532119,true,true
SID,4700001-0031020061,true,true
SID,4703277-0030657827,true,true
SID,4703277-0029546698,true,true
SID,4700001-0022835321,false,true
SID,4700001-0014021720,true,true
Graph-title,3598,true,true
Graph-title,3784,true,true
SID,4700001-0022825214,true,true
SID,1708594345,true,true
SID,4700001-0022216083,true,true
SID,4700001-0020812371,true,true
SID,4700001-0020695602,true,true
SID,1714983154,true,true
